chromosome_BroadS1	pos1	pos2	gen1	gen2	rate
1	24593361	24575819	55.253102	55.2531021	5.7006E-06
1	24575819	24135008	55.2531021	55.4304748	0.402378117
1	24135008	23825248	55.4304748	57.8073016	7.673123709
1	23825248	23499877	57.8073016	58.660221	2.621374984
1	23499877	23376739	58.660221	59.3352916	5.482228069
1	23376739	23357908	59.3352916	59.7267985	20.79055281
1	23357908	23318769	59.7267985	59.7267986	2.555E-06
1	23318769	23195601	59.7267986	59.9042778	1.440952195
1	23195601	23065327	59.9042778	60.081711	1.362000092
1	23065327	22935134	60.081711	61.1519303	8.220252241
1	22935134	22907481	61.1519303	61.1519304	3.61624E-06
1	22907481	22871469	61.1519304	61.3293903	4.927799067
1	22871469	22707912	61.3293903	61.7616731	2.643010082
1	22707912	22534232	61.7616731	63.0685187	7.524444956
1	22534232	22462553	63.0685187	63.6460958	8.057828653
1	22462553	22053314	63.6460958	65.33884	4.136321807
1	22053314	22033444	65.33884	65.9681201	31.66985908
1	22033444	21974474	65.9681201	66.7994089	14.09680855
1	21974474	21954115	66.7994089	67.2136941	20.34899553
1	21954115	21919654	67.2136941	67.3911448	5.149319521
1	21919654	21906006	67.3911448	67.3911449	7.32708E-06
1	21906006	21849910	67.3911449	67.391145	1.78266E-06
1	21849910	21798544	67.391145	67.3911451	1.94681E-06
1	21798544	21770507	67.3911451	67.3911452	3.56672E-06
1	21770507	21757941	67.3911452	67.3911453	7.95798E-06
1	21757941	21680511	67.3911453	67.3911454	1.29149E-06
1	21680511	21629838	67.3911454	67.3911455	1.97344E-06
1	21629838	21595761	67.3911455	67.3911456	2.93453E-06
1	21595761	21460023	67.3911456	67.746361	2.616919359
1	21460023	21424289	67.746361	68.6368256	24.91925337
1	21424289	21255007	68.6368256	70.4257893	10.56794993
1	21255007	21023542	70.4257893	71.0352156	2.632909079
1	21023542	20798036	71.0352156	71.8490736	3.609030358
1	20798036	20739850	71.8490736	72.0264929	3.049175059
1	20739850	20727495	72.0264929	72.2038562	14.35558883
1	20727495	20406713	72.2038562	74.0886304	5.875560973
1	20406713	20094256	74.0886304	75.7336751	5.264867486
1	20094256	20035610	75.7336751	76.3128811	9.8763087
1	20035610	20018177	76.3128811	76.3128812	5.73625E-06
1	20018177	20003473	76.3128812	76.3128813	6.80087E-06
1	28144937	28134695	84.9487378	84.9487379	9.76372E-06
1	28134695	28121372	84.9487379	84.948738	7.50582E-06
1	28121372	28080164	84.948738	84.9487381	2.42671E-06
1	28080164	27955699	84.9487381	85.8392392	7.154630619
1	27955699	27866150	85.8392392	86.372553	5.955552826
1	27866150	27831003	86.372553	86.3725531	2.84519E-06
1	27831003	27785797	86.3725531	86.3725532	2.2121E-06
1	27785797	27739370	86.3725532	86.3725533	2.15392E-06
1	27739370	27634509	86.3725533	86.3725534	9.53643E-07
1	27634509	27578150	86.3725534	86.3725535	1.77434E-06
1	27578150	27419213	86.3725535	86.3725536	6.2918E-07
1	27419213	27341739	86.3725536	86.3725537	1.29076E-06
2	557037	747569	0	0.0000001	5.24846E-07
2	747569	890973	0.0000001	0.0000002	6.97331E-07
2	890973	911310	0.0000002	0.0000003	4.91715E-06
2	911310	1171497	0.0000003	0.0000004	3.84339E-07
2	1171497	1210851	0.0000004	0.0000005	2.54104E-06
2	1210851	2366744	0.0000005	1.6095741	1.392493596
2	2366744	2509506	1.6095741	1.6095742	7.00467E-07
2	2509506	2550239	1.6095742	1.6095743	2.45501E-06
2	2550239	3126021	1.6095743	2.2771154	1.159364308
2	3126021	3210498	2.2771154	2.4986854	2.622844088
2	3210498	3353997	2.4986854	3.0320945	3.717162489
2	3353997	3366048	3.0320945	3.0320946	8.29807E-06
2	3366048	3515995	3.0320946	3.0320947	6.66902E-07
2	3515995	3675533	3.0320947	3.5654751	3.343281225
2	3675533	3704341	3.5654751	3.9500796	13.35061441
2	3704341	3762186	3.9500796	3.9500797	1.72876E-06
2	3762186	4000000	3.9500797	5.2401833	5.424842944
2	4000000	4295485	5.2401833	5.8817107	2.171099717
2	4295485	4347576	5.8817107	5.8817108	1.91972E-06
2	4347576	4351184	5.8817108	5.8817109	2.77162E-05
2	4351184	4515823	5.8817109	6.4150663	3.239544701
2	4515823	4523619	6.4150663	6.4150664	1.28271E-05
2	4523619	4689476	6.4150664	6.7702953	2.141778158
2	4689476	4707277	6.7702953	6.7702954	5.61766E-06
2	4707277	4725855	6.7702954	6.7702955	5.38271E-06
2	4725855	4743030	6.7702955	6.7702956	5.82242E-06
2	4743030	5244024	6.7702956	8.0194594	2.493370779
2	5244024	5249616	8.0194594	8.0194595	1.78827E-05
2	5249616	5325821	8.0194595	8.0194596	1.31225E-06
2	5325821	5344760	8.0194596	8.0194597	5.28011E-06
2	5344760	5395534	8.0194597	8.3746977	6.996454878
2	5395534	5457711	8.3746977	8.9080693	8.578278141
2	5457711	5561506	8.9080693	8.9080694	9.63438E-07
2	5561506	5573666	8.9080694	8.9080695	8.22368E-06
2	5573666	5633642	8.9080695	8.9080696	1.66733E-06
2	5633642	5636171	8.9080696	9.3026721	156.0310399
2	5636171	5665753	9.3026721	9.3026722	3.38043E-06
2	5665753	5772380	9.3026722	9.7628543	4.31581213
2	5772380	6050141	9.7628543	10.6874938	3.328903266
2	6050141	6075091	10.6874938	10.864922	7.111350701
2	6075091	6079146	10.864922	11.0422522	43.73124538
2	6079146	6833375	11.0422522	13.8628146	3.739663153
2	6833375	8314680	13.8628146	15.303894	0.972844485
2	8314680	8355644	15.303894	15.528742	5.488917098
2	8355644	8529365	15.528742	16.4193861	5.126864916
2	8529365	8595835	16.4193861	16.5080142	1.333354897
2	8595835	8602012	16.5080142	16.5967259	14.36161567
2	8602012	8680760	16.5967259	16.7741874	2.253536598
2	8680760	8753413	16.7741874	17.129439	4.889703109
2	8753413	9355423	17.129439	17.8412504	1.182391322
2	9355423	9790003	17.8412504	19.4311535	3.658481983
2	9790003	10052990	19.4311535	19.5295316	0.374079707
2	10052990	10146053	19.5295316	19.6277472	1.055366795
2	10146053	10288972	19.6277472	19.805215	1.241736928
2	10288972	10342369	19.805215	19.8052151	1.87276E-06
2	10342369	10413469	19.8052151	19.8052152	1.40647E-06
2	10413469	10604404	19.8052152	20.1604666	1.860588158
2	10604404	10641127	20.1604666	20.1604667	2.72309E-06
2	10641127	11143793	20.1604667	20.3379226	0.353029447
2	11143793	11321982	20.3379226	20.6931785	1.993702754
2	11321982	11380671	20.6931785	20.6931786	1.7039E-06
2	11380671	11407651	20.6931786	20.6931787	3.70645E-06
2	11407651	11647581	20.6931787	21.0484211	1.480608511
2	11647581	11698397	21.0484211	21.0484212	1.96788E-06
2	11698397	12493408	21.0484212	21.2258827	0.223218924
2	12493408	13048085	21.2258827	21.2258828	1.80285E-07
2	13048085	13282409	21.2258828	21.2258829	4.2676E-07
2	13282409	13330392	21.2258829	21.225883	2.08407E-06
2	13330392	13352341	21.225883	21.2258831	4.55602E-06
2	13352341	13491924	21.2258831	21.4033356	1.271304528
2	13491924	13686615	21.4033356	21.758587	1.824693489
2	13686615	13769345	21.758587	21.7585871	1.20875E-06
2	13769345	13803475	21.7585871	21.7585872	2.92997E-06
2	13803475	13867109	21.7585872	21.9360498	2.788801584
2	13867109	14064329	21.9360498	21.9360499	5.07048E-07
2	14064329	14179562	21.9360499	21.93605	8.67807E-07
2	14179562	14740149	21.93605	22.4694101	0.951431446
2	14740149	15210842	22.4694101	22.6468525	0.376981175
2	15210842	15452289	22.6468525	22.6468526	4.1417E-07
2	15452289	15651698	22.6468526	22.8242963	0.889848001
2	15651698	16326332	22.8242963	23.3575371	0.790414951
2	16326332	17811660	23.3575371	26.4128426	2.056990443
2	17811660	17898053	26.4128426	26.6001639	2.16824627
2	17898053	17927279	26.6001639	26.7776193	6.071833299
2	17927279	18007864	26.7776193	27.1328828	4.408556183
2	18007864	18021346	27.1328828	27.5199359	28.7088785
2	18021346	18693726	27.5199359	33.3015202	8.598685713
2	18693726	18750056	33.3015202	33.8958112	10.55016865
2	18750056	18777732	33.8958112	34.0732511	6.411327504
2	18777732	18800290	34.0732511	34.4875815	18.36733753
2	18800290	18899439	34.4875815	35.3190903	8.386456747
2	18899439	18930998	35.3190903	35.3190904	3.16867E-06
2	18930998	19208761	35.3190904	37.4502732	7.672666266
2	19208761	19536785	37.4502732	41.7124432	12.99346999
2	19536785	19830389	41.7124432	44.5565171	9.686768232
2	19830389	20012559	44.5565171	46.9959207	13.39080859
2	20012559	20126065	46.9959207	48.3075732	11.55579881
2	20126065	20198343	48.3075732	49.0862914	10.77393121
2	20198343	20297049	49.0862914	50.9333594	18.71282394
2	20297049	20871566	50.9333594	57.6327093	11.66083841
2	20871566	20955834	57.6327093	57.8142656	2.154510609
2	20955834	21017516	57.8142656	58.1986475	6.231670504
2	21017516	21206815	58.1986475	59.9450217	9.225480325
2	21206815	21213734	59.9450217	60.1369055	27.73288047
2	21213734	21245472	60.1369055	60.9012632	24.08336064
2	21245472	21361230	60.9012632	62.7264969	15.76766789
2	21361230	21482193	62.7264969	63.3526154	5.176115837
2	21482193	21507499	63.3526154	63.3526155	3.95163E-06
2	21507499	21564554	63.3526155	63.3526156	1.75269E-06
2	21564554	21696833	63.3526156	63.9623956	4.609802009
2	21696833	21814245	63.9623956	64.7768075	6.936359997
2	21814245	21891616	64.7768075	65.3102893	6.895113156
2	21891616	21907917	65.3102893	65.3102894	6.13459E-06
2	21907917	21963567	65.3102894	65.3102895	1.79695E-06
2	21963567	21999411	65.3102895	65.8437855	14.88382993
2	21999411	22061012	65.8437855	66.3773099	8.660969789
2	22061012	22116617	66.3773099	66.5547637	3.191328118
2	22116617	22149462	66.5547637	66.9100875	10.81820064
2	22149462	22157165	66.9100875	67.2616799	45.64356744
3	689235	947277	0	1.1254999	4.36169267
3	947277	1199651	1.1254999	2.5256514	5.547922924
3	1199651	1653088	2.5256514	4.323577	3.965105627
3	1653088	1675886	4.323577	4.7782309	19.94270989
3	1675886	1878154	4.7782309	5.347115	2.81252645
3	1878154	2035076	5.347115	6.0586395	4.534255872
3	2035076	2289378	6.0586395	6.9487495	3.500208414
3	2289378	3898235	6.9487495	7.9872612	0.645496585
3	3898235	5214420	7.9872612	9.4458586	1.108200899
3	5214420	5246202	9.4458586	9.6232416	5.581240954
3	5246202	5263777	9.6232416	9.6232417	5.6899E-06
3	5263777	5350550	9.6232417	9.9784298	4.093302064
3	5350550	5585737	9.9784298	9.9784299	4.25194E-07
3	5585737	5618993	9.9784299	10.1558802	5.335888261
3	5618993	5647852	10.1558802	10.1558803	3.46512E-06
3	5647852	5890766	10.1558803	10.1558804	4.11668E-07
3	5890766	5965129	10.1558804	10.3333306	2.386270054
3	5965129	5991257	10.3333306	10.3333307	3.82731E-06
3	5991257	6510713	10.3333307	11.044948	1.369927963
3	6510713	6734210	11.044948	11.0449481	4.47433E-07
3	6734210	6810396	11.0449481	11.4001724	4.662592865
3	6810396	6994046	11.4001724	11.5775901	0.966064253
3	6994046	7498749	11.5775901	12.3360915	1.502866835
3	7498749	8346392	12.3360915	14.4389519	2.480832615
3	8346392	8515948	14.4389519	14.438952	5.89776E-07
3	8515948	8718045	14.438952	14.6163968	0.878017981
3	8718045	8808333	14.6163968	14.9716031	3.934147395
3	8808333	9127833	14.9716031	15.5048519	1.669010329
3	9127833	9509751	15.5048519	16.0380916	1.396215156
3	9509751	9608043	16.0380916	16.0380917	1.01738E-06
3	9608043	9871896	16.0380917	16.3932935	1.346210958
3	9871896	10116956	16.3932935	16.7484952	1.44944789
3	10116956	10178070	16.7484952	16.7484953	1.63629E-06
3	10178070	10195259	16.7484953	16.7484954	5.81767E-06
3	10195259	10388336	16.7484954	17.1037031	1.839720422
3	10388336	10492594	17.1037031	17.3401719	2.2681118
3	10492594	10789069	17.3401719	17.8142128	1.598923687
3	10789069	10901717	17.8142128	18.5258607	6.317448157
3	10901717	10954415	18.5258607	18.8810516	6.740121067
3	10954415	11013307	18.8810516	18.8810535	3.22624E-05
3	11013307	11137604	18.8810535	18.8810536	8.04525E-07
3	11137604	11311266	18.8810536	19.0726888	1.103495295
3	11311266	12505929	19.0726888	21.224804	1.801441243
3	12505929	12891582	21.224804	23.0312842	4.684211454
3	12891582	13014992	23.0312842	23.7093514	5.494426708
3	13014992	13197286	23.7093514	23.8949217	1.017972616
3	13197286	13964816	23.8949217	30.2050165	8.221300535
3	13964816	14416367	30.2050165	32.3797902	4.816230503
3	14416367	14460350	32.3797902	33.4743239	24.88538072
3	14460350	14525075	33.4743239	33.474324	1.545E-06
3	14525075	14693503	33.474324	35.4982273	12.01643017
3	14693503	14877319	35.4982273	38.7408445	17.64056013
3	14877319	15014394	38.7408445	39.9175386	8.58430859
3	15014394	15272237	39.9175386	40.700164	3.035278832
3	15272237	15812848	40.700164	41.8739063	2.171140247
3	15812848	15869592	41.8739063	42.4270616	9.748260609
3	15869592	15892690	42.4270616	42.7169011	12.54825093
3	15892690	16335987	42.7169011	47.7498077	11.35335136
4	473121	542603	0	0.0000001	1.43922E-06
4	542603	570692	0.0000001	0.0000002	3.56011E-06
4	570692	1090515	0.0000002	1.4287318	2.748496315
4	1090515	1372198	1.4287318	4.3023624	10.20164724
4	1372198	1416215	4.3023624	5.1709499	19.73300089
4	1416215	1646099	5.1709499	5.911881	3.223065111
4	1646099	1668285	5.911881	5.9118811	4.50735E-06
4	1668285	1700232	5.9118811	5.9118812	3.13018E-06
4	1700232	1710912	5.9118812	5.9118813	9.3633E-06
4	1710912	1840361	5.9118813	6.1185494	1.59652141
4	1840361	1944600	6.1185494	7.1586405	9.977945874
4	1944600	2337600	7.1586405	10.2470594	7.858572265
4	2337600	2344100	10.2470594	10.6567421	63.02810769
4	2344100	3183661	10.6567421	19.6266905	10.68409371
4	3183661	3541899	19.6266905	22.3937189	7.723994663
4	3541899	3763385	22.3937189	25.8779088	15.73097126
4	3763385	3778296	25.8779088	26.1032333	15.11129368
4	3778296	3830897	26.1032333	26.1032334	1.9011E-06
4	3830897	3846428	26.1032334	26.1032335	6.43874E-06
4	3846428	4185607	26.1032335	29.3346231	9.527092184
4	4185607	4188425	29.3346231	29.5405954	73.09166075
4	4188425	4637636	29.5405954	33.7127079	9.287645449
4	4637636	4897632	33.7127079	35.0884023	5.291213711
4	4897632	4967368	35.0884023	35.0884024	1.43398E-06
4	4967368	5235411	35.0884024	35.6748099	2.187736669
4	5235411	5255599	35.6748099	35.67481	4.95344E-06
4	5255599	5432665	35.67481	36.2082036	3.012399896
4	5432665	5455187	36.2082036	36.2082037	4.4401E-06
4	5455187	5552425	36.2082037	36.385645	1.824814373
4	5552425	5835065	36.385645	37.0975144	2.518643504
4	5835065	6024096	37.0975144	38.0878116	5.238808449
4	6024096	6309217	38.0878116	38.87894	2.774711088
4	6309217	6394434	38.87894	39.056375	2.082154969
4	6394434	6404573	39.056375	39.0563751	9.86291E-06
4	6404573	6467219	39.0563751	39.2338423	2.832857645
4	6467219	6474941	39.2338423	39.4112968	22.98038073
4	6474941	6528988	39.4112968	39.4113005	6.84589E-05
4	6528988	7234272	39.4113005	39.5887765	0.251637638
4	7234272	7343206	39.5887765	39.5887766	9.17987E-07
4	7343206	7366330	39.5887766	39.5887767	4.32451E-06
4	7366330	7733735	39.5887767	40.0330697	1.209273145
4	7733735	7965857	40.0330697	40.0330698	4.30808E-07
4	7965857	8262659	40.0330698	40.4773694	1.49695622
4	8262659	8895770	40.4773694	40.4773695	1.5795E-07
4	8895770	9103000	40.4773695	40.4773696	4.82556E-07
4	9103000	10235819	40.4773696	40.9036825	0.376329228
4	10235819	11192842	40.9036825	41.5443521	0.669440128
4	11192842	11693746	41.5443521	41.8996209	0.709255266
4	11693746	11850834	41.8996209	42.0770869	1.129723467
4	11850834	11984797	42.0770869	42.077087	7.46475E-07
4	11984797	12377328	42.077087	42.4323655	0.905096668
4	12377328	12797213	42.4323655	42.609826	0.422640723
4	12797213	12808684	42.609826	42.6098261	8.71764E-06
4	12808684	12831063	42.6098261	42.6098262	4.46847E-06
4	12831063	12962773	42.6098262	43.143249	4.0499795
4	12962773	13354106	43.143249	43.4985097	0.907821983
4	13354106	14024922	43.4985097	43.8537793	0.529608119
4	14024922	14163640	43.8537793	43.8537794	7.20887E-07
4	14163640	14417576	43.8537794	44.2803398	1.679794909
4	14417576	15014326	44.2803398	44.4932232	0.356737997
4	15014326	15026625	44.4932232	44.4932233	8.13074E-06
4	15026625	15459588	44.4932233	44.9197677	0.985175177
4	15459588	15482691	44.9197677	44.9197678	4.32844E-06
4	15482691	15631335	44.9197678	44.9197679	6.72748E-07
4	15631335	16142957	44.9197679	45.4531714	1.042573423
4	16142957	17215623	45.4531714	45.4531715	9.32257E-08
4	17215623	17771380	45.4531715	45.4531716	1.79935E-07
4	28016527	27850533	45.986575	45.9865751	6.02431E-07
4	27850533	27333098	45.9865751	45.9865752	1.93261E-07
4	27333098	27187528	45.9865752	45.9865753	6.86955E-07
4	27187528	26874807	45.9865753	45.9865754	3.19774E-07
4	26874807	26761764	45.9865754	45.9865755	8.84619E-07
4	26761764	26337949	45.9865755	45.9865756	2.35952E-07
4	26337949	26331521	45.9865756	45.9865757	1.55569E-05
4	26331521	24536930	45.9865757	46.3418543	0.197971906
4	24536930	23476881	46.3418543	46.3418544	9.43353E-08
4	23476881	23345982	46.3418544	46.3418545	7.63948E-07
4	23345982	22417602	46.3418545	46.3418546	1.07715E-07
4	22417602	22054581	46.3418546	46.3418547	2.75466E-07
4	22054581	22027974	46.3418547	46.3418548	3.75841E-06
4	22027974	21761682	46.3418548	46.3418549	3.75528E-07
4	21761682	21628064	46.3418549	46.341855	7.48402E-07
4	21628064	21388053	46.341855	46.697147	1.480315486
4	21388053	20463111	46.697147	46.8746108	0.191864787
4	20463111	20426041	46.8746108	46.8746109	2.6976E-06
4	20426041	20387366	46.8746109	46.874611	2.58565E-06
4	20387366	19344934	46.874611	48.1243658	1.198883764
4	19344934	19337115	48.1243658	48.1243659	1.27894E-05
4	19337115	18880314	48.1243659	48.836335	1.558597945
4	18880314	18501378	48.836335	49.5483749	1.879050552
4	18501378	18403594	49.5483749	49.9036717	3.633486051
4	18403594	18291569	49.9036717	50.0811389	1.584174961
4	18291569	18211421	50.0811389	50.081139	1.24769E-06
4	18211421	18028139	50.081139	50.0811391	5.45607E-07
4	18028139	18026184	50.0811391	50.0811392	5.11509E-05
4	18026184	17957102	50.0811392	50.0811393	1.44755E-06
4	28451235	28460920	50.6146145	50.6146146	1.03252E-05
4	28460920	28479446	50.6146146	50.6146147	5.39782E-06
4	28479446	29406006	50.6146147	52.6651469	2.213059273
4	29406006	29785599	52.6651469	54.5895129	5.069550808
4	29785599	30047318	54.5895129	55.8201117	4.701984953
4	30047318	30375117	55.8201117	57.6037139	5.441145946
4	30375117	30590473	57.6037139	58.5399095	4.347199985
4	30590473	30769439	58.5399095	59.5749616	5.783512511
4	30769439	30847949	59.5749616	60.5145279	11.96747293
4	30847949	31019699	60.5145279	61.3087742	4.624432606
4	31019699	31078625	61.3087742	61.5239332	3.651342362
4	31078625	31085525	61.5239332	61.5239333	1.44928E-05
4	31085525	31245885	61.5239333	62.8006247	7.961408082
4	31245885	31347117	62.8006247	63.7509349	9.387448633
4	31347117	31632597	63.7509349	66.7087303	10.36077974
4	31632597	31663162	66.7087303	66.9199302	6.909860952
4	31663162	32116000	66.9199302	73.1722321	13.80692853
4	32116000	32230020	73.1722321	73.5366334	3.19594194
4	32230020	32309121	73.5366334	73.8919228	4.491591762
4	32309121	32343704	73.8919228	74.2471945	10.27301564
4	32343704	32458301	74.2471945	74.2471946	8.72623E-07
5	7086954	6892401	1.4214073	1.4214074	5.13999E-07
5	6892401	6807322	1.4214074	1.4214075	1.17538E-06
5	6807322	6361256	1.4214075	1.4214076	2.24182E-07
5	6361256	6322067	1.4214076	1.4214077	2.55174E-06
5	6322067	6319659	1.4214077	1.4214078	4.15282E-05
5	6319659	6153181	1.4214078	1.4214079	6.0068E-07
5	6153181	5706086	1.4214079	1.421408	2.23666E-07
5	5706086	5597095	1.421408	1.4214081	9.17507E-07
5	5597095	5584481	1.4214081	1.4214082	7.9277E-06
5	5584481	5204953	1.4214082	1.9549608	1.405831981
5	5204953	4621983	1.9549608	2.5865423	1.083385938
5	4621983	3853817	2.5865423	4.2374315	2.149130787
5	3853817	3764951	4.2374315	4.455879	2.458167353
5	3764951	3757033	4.455879	4.4558791	1.26295E-05
5	3757033	3652212	4.4558791	4.8112181	3.389960027
5	3652212	3358232	4.8112181	4.9886345	0.603498197
5	3358232	2492909	4.9886345	6.3235116	1.542634484
5	2492909	1832717	6.3235116	7.8249949	2.274313079
5	1832717	1648713	7.8249949	8.0615188	1.285428034
5	1648713	1465834	8.0615188	9.0126559	5.200909344
5	1465834	948406	9.0126559	11.4151225	4.643093532
5	948406	855049	11.4151225	11.6012167	1.993360969
5	855049	580662	11.6012167	11.7874258	0.678636743
5	580662	503006	11.7874258	11.7874259	1.28773E-06
5	503006	7957900	11.7874259	17.4284259	9.672231215
5	7957900	8024392	17.4284259	17.8286166	6.018629309
5	8024392	8175618	17.8286166	18.0060781	1.173485379
5	8175618	8185268	18.0060781	18.0060782	1.03627E-05
5	8185268	8212202	18.0060782	18.0060783	3.71278E-06
5	8212202	8238830	18.0060783	18.0060784	3.75545E-06
5	8238830	8359716	18.0060784	19.1568961	9.51962296
5	8359716	8893603	19.1568961	23.0215884	7.238823977
5	8893603	9031323	23.0215884	24.3152772	9.393616033
5	9031323	9088178	24.3152772	24.9049367	10.37128661
5	9088178	9498771	24.9049367	26.1748603	3.092901243
5	9498771	9625295	26.1748603	27.1227905	7.492097942
5	9625295	9836684	27.1227905	27.8802418	3.583210574
5	9836684	9852420	27.8802418	28.0576718	11.27541942
5	9852420	9924842	28.0576718	28.6375538	8.006986827
5	9924842	10445636	28.6375538	34.4466995	11.15440212
5	10445636	10474164	34.4466995	34.6528913	7.227699103
5	10474164	10491281	34.6528913	34.6528914	5.84215E-06
5	10491281	11719344	34.6528914	42.2945874	14.43272707
5	11719344	11668535	42.2945874	42.4718932	3.489653408
5	11668535	11660557	42.4718932	42.6491645	22.22001755
5	11660557	11331388	42.6491645	46.7407771	12.43012738
5	11331388	11274417	46.7407771	46.958388	3.819678433
5	11274417	11124668	46.958388	47.156713	1.324382801
5	11124668	11783981	47.156713	48.9630271	10.71653061
5	11783981	11951898	48.9630271	49.1452663	1.085293329
5	11951898	11963962	49.1452663	49.1452664	8.28912E-06
5	11963962	25951943	49.1452664	49.8571232	2.185480212
6	3176945	2894532	4.7273925	4.7273926	3.54091E-07
6	2894532	2309759	4.7273926	5.9775903	2.137919671
6	2309759	2126345	5.9775903	6.1549805	0.96715736
6	2126345	1974172	6.1549805	7.0460365	5.85554599
6	1974172	1671088	7.0460365	8.1944424	3.789068047
